variable_id,mz,rt,QC_001,QC_002,QC_003,QC_004,QC_005,QC_006,MT_001,MT_002,MT_003,MT_004,MT_005,MT_006,MT_007,MT_008,MT_009,MT_010,MT_011,MT_012,QC_008,MT_013,MT_014,MT_015,MT_016,MT_017,MT_018,MT_019,MT_020,MT_021,QC_009,MT_022,MT_023,MT_024,MT_025,MT_026,MT_027,QC_010,WT_001,MT_028,MT_029,MT_030,MT_031,MT_032,MT_033,MT_034,QC_011,WT_002,MT_035,MT_036,MT_037,MT_038,MT_039,MT_040,MT_041,MT_042,MT_043,MT_044,MT_045,QC_012,MT_046,MT_047,MT_048,MT_049,MT_050,MT_051,MT_052,MT_053,MT_054,MT_055,QC_013,MT_056,MT_057,MT_058,MT_059,MT_060,MT_061,MT_062,MT_063,MT_064,QC_014,MT_065,MT_066,MT_067,MT_068,MT_069,MT_070,MT_071,MT_072,QC_015,MT_073,MT_074,MT_075,MT_076,MT_077,MT_078,MT_079,MT_080,MT_081,MT_082,QC_016,MT_083,MT_084,MT_085,MT_086,MT_087,MT_088,MT_089,MT_090,MT_091,MT_092,MT_093,MT_094,MT_095,QC_017,MT_096,MT_097,MT_098,MT_099,MT_100,MT_101,MT_102,MT_103,MT_104,MT_105,MT_106,QC_018,MT_107,MT_108,MT_109,MT_110,MT_111,MT_112,MT_113,QC_019,MT_114,MT_115,MT_116,MT_117,MT_118,MT_119,MT_120,MT_121,QC_020,MT_122,MT_123,MT_124,MT_125,MT_126,WT_003,MT_127,MT_128,MT_129,MT_130,QC_021,MT_131,MT_132,MT_133,MT_134,MT_135,MT_136,MT_137,MT_139,MT_140,QC_022,MT_141,MT_142,MT_138,MT_143,MT_144,MT_145,MT_146,QC_023,MT_147,MT_148,MT_149,MT_150,MT_151,MT_152,MT_153,QC_024,WT_004,MT_154,MT_155,MT_156,MT_157,MT_158,MT_159,MT_160,MT_161,MT_162,MT_163,QC_025,MT_164,MT_165,MT_166,WT_005,MT_167,MT_168,MT_169,MT_170,MT_171,MT_172,MT_173,MT_174,QC_026,MT_175,MT_176,MT_177,MT_178,WT_006,MT_179,MT_180,MT_181,MT_182,MT_183,MT_184,MT_185,QC_027,MT_186,MT_187,MT_188,MT_189,MT_190,MT_191,QC_028,MT_192,MT_193,MT_194,MT_195,MT_196,MT_197,MT_198,MT_199,QC_029,WT_007,MT_200,MT_201,MT_202,MT_203,MT_204,MT_205,MT_206,QC_030
Met_neg_1793,854.4536743,15.05768499,NA,NA,NA,NA,8361,8185,1015,2217,451,130,1398,5907,NA,4712,15726,1666,1139,NA,NA,4520,3091,NA,1818,NA,NA,1073,53,1150,9948,5799,1373,246,411,NA,590,NA,1696,931,NA,NA,NA,1259,137,3069,8422,844,437,1024,252,718,2264,1974,2863,476,586,602,246,NA,2201,826,2164,81,353,1910,2236,1942,474,5356,NA,NA,49,94,NA,1375,2608,638,748,769,NA,1035,1114,449,63,984,3460,251,602,NA,927,2827,NA,1353,NA,202,1208,2947,1640,5090,NA,3507,621,1105,417,649,717,274,178,81,1065,142,307,164,NA,971,1358,NA,1279,994,1639,554,564,1026,800,244,NA,595,1466,464,885,611,111,337,6124,296,315,1585,2830,1058,116,627,831,4945,631,372,448,343,121,1712,6207,1320,2916,41,NA,1113,1274,554,522,1415,1407,271,135,40,NA,187,NA,410,1989,4800,1428,738,NA,739,1296,104,1057,1776,1367,903,NA,124,NA,1740,2928,2250,NA,7360,442,353,262,106,6332,263,335,1217,1359,2788,7593,660,1157,64,775,1333,1668,10550,47,NA,759,811,352,1975,NA,116,1848,576,422,431,NA,527,698,10209,NA,993,614,8530,806,34,213,1046,60,2336,194,425,NA,NA,37,681,66,NA,NA,NA,210,10824
Met_neg_1795,802.4743652,18.80294614,5520,6295,3521,4790,4968,6661,1398,1268,838,1704,692,625,2639,2611,458,NA,355,1138,13160,296,2013,1648,506,1344,3982,1571,1565,2721,NA,1923,2615,461,1008,1176,2250,6620,2050,5773,206,976,1645,196,4449,151,5497,1903,1346,77,937,1223,1317,1049,416,3293,1610,190,2070,7746,204,664,4420,7553,1919,1223,3328,10570,6158,5311,3889,487,2895,485,5045,2277,2656,2675,4198,9245,4868,198,1829,3384,1611,1455,NA,1317,1510,NA,7553,7961,2236,4418,2411,1766,NA,2266,5222,8242,5503,7737,1073,5774,165,7658,4639,1432,1125,1088,2778,1468,1487,2871,6613,3410,2393,2454,2002,952,1249,3184,3144,NA,NA,2490,4694,795,437,552,1737,NA,759,1995,4149,1829,2064,525,4984,1775,708,2322,NA,3238,1879,2385,899,4610,3171,1551,1111,1289,1355,1617,15468,1418,2194,1401,9901,2556,2648,3839,440,3255,4292,1163,1456,1010,1389,858,170,3364,12151,216,288,1092,1921,849,322,NA,7249,577,763,349,506,904,575,1074,76,1426,566,1822,8636,1188,2154,217,667,1034,1944,979,676,1947,777,1740,1110,3717,1473,916,1415,2285,480,61,1274,970,743,2354,1547,495,9079,1314,2486,335,536,207,400,7774,383,126,873,1003,1347,319,220,271,3181,634,909,322,2823,856,889,2634,443,5608
Met_neg_1796,110.9853516,1.367415304,52264,60343,67106,60799,61811,56234,39813,63282,77770,64812,65559,18692,26756,14660,6984,187514,103454,81462,54962,83670,91024,84264,116020,70727,94668,91979,63027,54935,55009,33778,142974,138777,122185,127955,132184,57225,76495,29655,54435,36493,51440,52098,56277,84105,41398,60023,54400,53921,88808,77243,34026,23030,34139,26327,30589,39069,26636,32941,61554,38655,23546,25328,30382,15233,19109,35401,81302,48551,32715,34456,29559,71344,34792,29687,44416,32409,35132,50710,28427,35785,38222,23835,6117,15111,27032,8166,58858,25551,34064,31032,26467,31838,30627,23386,27836,21970,13903,23302,24662,27482,49866,15212,16859,NA,15888,23012,23224,20258,11293,21021,20573,19154,18899,57739,39624,49829,7951,11270,16292,9287,12055,20844,20484,23365,28579,15699,12426,12522,21018,15626,19506,11977,27269,29771,20999,27775,64986,43395,62772,50586,33000,28410,9849,16741,10177,22848,47092,12074,19615,15158,28098,30588,30856,5815,24282,10871,15598,14778,11131,11773,12169,9613,22815,19429,28233,55029,56,15042,14005,12306,28261,30526,10509,NA,10131,NA,43046,49830,28576,52591,37227,37518,51135,4285,NA,12433,51770,40268,53051,94227,28470,33003,61429,58310,44044,35338,23989,36693,19824,14876,19743,21121,28008,29502,9989,26167,17984,15927,20496,47014,68602,31457,29955,34515,39511,36893,42919,113806,116529,18821,4211,34630,25795,37840,NA,46504,53108,30861,25874,10395,26767,5402,39528,28525,39954,56198,33943,98289,66408,27213,44833,42411
Met_neg_1798,805.4737549,18.65549309,2939975,2669622,2606790,2447260,2316581,2343028,622052,460061,752188,1017406,439422,491572,328888,453113,174398,47429,386299,471111,2259113,96264,898735,270661,517198,600116,618374,359698,696275,140632,2153200,339467,904374,367188,442358,724180,840249,2230945,636981,516358,599233,542335,902084,240586,273861,193080,2258365,582078,492755,349329,386366,380550,557730,347782,335216,214581,176886,15990,159768,2074531,3951,51602,636036,448016,864368,394793,442303,1112165,1020808,894391,2090490,1197096,1585490,750136,895278,1111873,1600509,1076947,1358484,261295,1852841,400135,666992,555522,564725,380614,1087346,712881,860495,1808684,691748,1079654,830894,628934,705040,224166,224543,651291,1174244,743461,1803762,1227705,542466,251980,408379,488608,403181,218452,354488,321942,149017,379583,290906,513317,1858524,1188503,833112,262673,464260,251832,155095,160308,230420,128508,10797,560871,1946940,317556,278916,191463,177223,1468,230838,383467,1851409,477730,115075,256583,666898,598139,541208,248675,302607,1776714,200262,226054,211139,437974,335934,639426,355234,99049,343402,339644,1769211,387762,682651,547323,804883,884294,442111,709671,565198,581853,1702520,800541,529651,790165,613045,320364,97503,416442,1623717,257225,43418,439935,574137,312139,444177,3171,1760490,266407,139114,423528,251729,241421,28114,187253,667117,591562,670802,537191,1552468,709769,435698,479565,543144,362632,350078,461150,223026,639347,332594,646114,575536,1584319,514622,308018,359342,750073,449288,457775,876699,597080,622140,497911,870708,606989,1694354,458463,325239,154628,143203,373506,403925,1581394,252655,343564,207602,368592,300195,174263,455626,123599,1320549,275126,366241,224632,275252,435796,213290,377479,287063,1197670
Met_neg_1799,431.1919861,6.295120634,3371,4173,2415,2581,2541,11433,2259,984,910,1158,921,991,1093,665,4991,1118,1114,1215,3698,661,441,1034,1151,1261,1554,724,991,2668,9756,248,1283,2131,391,2219,1883,10291,747,404,520,914,1030,496,1155,821,8518,713,956,803,670,3025,308,537,1229,543,869,875,175,4638,3381,959,190,234,203,259,233,65,189,338,2784,1080,2537,683,445,1715,250,602,107,637,4032,528,732,707,497,1213,274,1123,136,9010,153,257,354,185,146,902,540,354,659,229,1131,359,572,1197,643,570,11,182,877,241,443,533,515,259,1083,1009,1451,169,393,30,218,403,270,247,433,258,2355,371,554,239,140,119,814,167,1418,115,1025,479,583,295,50,166,627,2052,741,1358,600,280,278,207,189,299,2035,364,1658,623,1560,494,383,316,570,454,346,90,1951,324,502,16,1025,623,571,948,1096,171,1283,316,538,573,545,135,3418,660,293,218,200,1010,117,990,1729,626,360,2292,1881,1327,2515,540,960,892,717,643,787,289,336,636,429,1721,288,365,923,152,101,169,274,722,166,1537,476,1057,2170,206,452,597,611,250,880,4227,400,371,460,888,586,1065,671,859,2723,1072,30,1930,772,41,1153,192,607,3017
Met_neg_1800,225.1132813,6.346612565,9224,969,4913,9697,4961,10185,1242,3885,2009,2068,2937,1014,1043,68,6396,2961,5052,2485,7111,2578,4498,2297,123,74,4507,1932,4126,1905,10419,3001,3942,3355,5851,1910,3530,9996,2777,2109,1433,284,4123,52,1521,2780,152,217,1133,1573,415,423,NA,171,1994,1515,4419,3364,3120,5956,7955,10425,NA,NA,554,451,403,808,3544,851,3527,4594,1764,1765,3952,2801,1040,992,1621,1520,4516,2858,2101,1139,1534,756,240,978,339,2843,1693,NA,802,1164,140,2579,1401,324,417,NA,5775,46,29,2434,2741,2305,NA,NA,NA,937,766,40,788,308,5948,232,1703,NA,468,333,36,443,NA,686,94,67,2941,NA,1926,NA,103,NA,NA,NA,4688,490,1571,NA,1188,1157,976,2000,NA,6462,NA,NA,586,3292,507,940,1220,1218,4013,886,2575,1627,3005,564,NA,1437,280,66,NA,131,3107,96,712,1767,2953,NA,NA,NA,7946,385,NA,222,346,290,NA,NA,4041,48,864,1594,3044,4209,230,4800,2997,2916,1714,1714,8926,2077,2474,632,2206,852,1503,1216,751,251,536,NA,NA,7963,7971,1880,1071,63,226,2443,2791,2471,231,3068,4554,1486,9803,3198,3498,3465,3303,706,117,6068,3650,1019,203,447,552,NA,31,1894,8471,NA,NA,97,204,1625,NA,43,5065,482
Met_neg_1804,436.0635071,18.39563631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Met_neg_1806,232.8591919,3.885163961,17320,26790,30725,30437,31690,35955,9217,6224,9295,6813,10118,9762,9489,8816,14139,14868,12769,7519,37843,14432,11859,11420,13687,14659,12721,12102,13842,6835,37960,15752,20139,16697,15790,19704,17112,41598,8157,13414,5449,8059,14133,6995,7790,7799,37539,7943,14899,19859,5625,5603,5752,9700,10280,13926,12020,19381,7143,44330,28387,19130,5984,11531,5214,6034,2681,4591,17002,3356,38286,16546,14890,8275,10657,7615,15056,19385,15231,12182,34724,6449,9268,11161,10396,8067,7193,4745,4833,34178,5767,3248,5105,6114,5238,5839,7363,4446,4625,7545,32432,3082,6665,10291,9586,10487,2534,1964,1834,1921,6091,5547,4144,1664,35463,11007,6033,6570,2808,6883,4446,3999,3406,3290,5432,3303,31734,1372,5355,1990,5122,6989,1848,3837,34293,5818,6190,3798,7362,6922,9210,5997,3023,34052,3096,5019,9605,13042,11044,7065,7913,8021,8855,6730,31739,5314,9877,6329,4087,6846,4746,2634,3098,4419,33885,704,3556,7716,3860,378,1746,854,36175,3010,5027,10869,5128,2624,4124,6496,33542,4594,5260,5405,6283,12009,13635,14154,14569,10940,8635,13059,35398,5554,7285,7331,4860,6059,12145,8387,8014,5858,4344,671,3001,32036,10653,8762,6538,3322,5271,11554,9398,5203,8465,14592,18870,8247,12192,19735,15503,16019,14055,1724,1932,20387,22931,3460,6268,11592,7685,10160,8850,12764,28484,4585,5198,7664,5271,8451,7965,24,9999,34475
Met_neg_1807,844.4845581,16.64209766,12497,974,14308,95,422,1768,660,4990,590,417,3413,3107,6298,5176,158,2759,371,2699,24663,3625,1006,1677,72,2239,9009,355,161,1367,23326,3837,8006,1259,7739,89,298,527,866,8993,262,5687,371,656,1435,6467,23403,3325,5247,9504,326,1037,6949,1205,414,46,350,6142,243,27463,NA,4654,3931,1695,664,644,93,199,39,814,22145,14637,410,1670,8846,486,797,50,8155,5635,991,674,3194,156,1333,782,507,449,519,496,1751,917,1318,363,424,509,5334,233,2066,887,16163,2643,3909,5183,636,429,673,509,204,2937,539,1566,2386,271,1128,9562,10001,1303,137,178,378,325,2002,1585,376,242,2295,2992,853,873,148,914,NA,729,1633,1291,3414,1045,2889,187,6026,520,1587,11577,2591,2094,5409,6389,5397,411,3083,2314,346,4226,446,183,7341,10815,9254,859,650,356,309,33,2314,2959,393,840,7487,2557,1399,37,9659,1943,3462,1469,671,41,796,NA,143,279,210,206,557,3734,717,1843,3560,136,3322,4266,591,89,239,1296,NA,866,5578,3787,3306,389,6029,327,2677,285,1368,261,8212,6068,377,5517,5290,751,1359,5796,623,7896,2461,1484,747,1171,787,443,1666,16064,4283,164,672,168,341,144,5784,936,295,950,3527,2611,227,88,4088,1584,1378,7524
Met_neg_1808,461.230896,14.96825104,182414,233040,213937,167993,207058,191666,42741,51780,58096,49687,34499,139275,101887,92359,112051,64004,42277,41771,235931,41628,72952,63755,64839,52620,28663,41799,NA,47949,218840,49388,76490,55968,48117,61559,22555,212825,38472,70674,57340,135615,156135,30276,56443,80477,204906,22128,22500,39119,53066,62296,81539,73378,206172,24950,22880,72911,30474,185549,207136,219656,82572,20650,59346,17726,117754,62681,56154,120996,188217,75816,25069,1990,4003,2664,78390,29551,19598,22315,168793,20391,32140,NA,30703,31104,28950,22482,35444,189969,33208,59616,152742,44872,61941,14396,31286,31613,156323,59536,199960,NA,10526,NA,8530,9734,50441,17069,16357,5352,47931,NA,13937,24973,141610,15315,64075,28099,51291,47779,43134,42425,36537,43642,34947,24479,155177,43845,28301,47172,NA,54232,8155,22463,160447,27872,19614,10955,33700,4934,33920,27475,42190,152893,45302,1899,15842,50243,47050,27750,49790,24326,47082,37836,192120,42564,26290,26176,50147,51753,39552,20798,38754,28675,194360,NA,27361,51537,23923,94054,76822,60049,140135,58702,59731,23613,43404,24191,54637,72541,145587,29252,NA,32005,44481,60257,82043,457908,NA,37766,NA,33166,157937,43288,17278,37875,35761,45987,NA,45783,67909,57011,65501,79739,102255,155055,NA,10554,31004,21934,20168,28934,29877,41865,10282,32207,66763,40241,144507,26258,21153,126011,44609,21697,57520,158754,21246,50106,33545,38656,66086,27168,16954,27966,176113,15038,14991,38971,21095,64918,74546,106214,28661,191009
Met_neg_1809,563.270752,9.224222446,148483,11720,9978,155000,11627,7890,44883,960,2598,1223,3972,55957,4213,3642,4898,3553,54485,34961,161495,37168,55359,4661,69283,56971,2405,5101,833,48803,171745,39567,3852,61462,51773,59907,54224,163089,840,41969,33615,3332,45264,2957,86206,52864,12529,15132,1717,11941,56070,11248,38888,51455,26307,45489,41104,1785,36776,100573,2683,34657,18347,11520,311,14576,16022,848,4615,12112,2270,458,170,13927,1048,19676,47,735,285,17305,24217,717,1454,14842,10698,1605,8621,481,719,8480,7112,11035,815,1132,18301,14450,6626,19209,10465,9834,68709,6969,392,563,6685,9098,2634,1407,15990,195,2968,703,1483,10,7170,14837,525,34045,38438,1274,3263,40664,546,2460,808,6540,7944,1045,1455,2377,732,31731,9990,594,30654,741,891,580,15606,6833,1675,1005,907,29631,900,13469,368,835,2702,1653,651,1308,19698,1716,85100,31349,1597,2183,1007,26694,650,1702,38834,2531,8898,14593,33,19184,582,20705,15545,5316,100976,1853,41771,16946,31525,15592,17848,90107,82244,1582,1556,1129,1184,18769,655,32332,14618,769,504,21010,94755,4726,2590,19487,524,6974,1123,23057,1496,1866,14830,7880,7962,12504,22045,14917,27180,2104,16814,3335,12272,21024,466,750,21460,1615,138771,873,428,31363,36611,486,357,13102,20642,159,1130,26666,7714,25285,1828,1538,11768,24753,35796,1452,2411,30957,14524,25873,25139,146672
Met_neg_1810,821.4691162,15.91441166,670074,674439,611291,629173,536717,517816,121743,98862,183501,140565,129933,287335,244537,199609,261947,74236,164444,229636,541935,82501,245235,176331,204089,198086,190467,138860,145001,128324,514636,133888,21074,217636,183670,221428,151777,516338,92521,116736,111453,192806,351109,96099,202088,124750,496591,72997,105994,80885,144541,143177,171853,154848,20144,112452,105970,93126,86588,428817,1452,123309,86830,71009,90672,53617,24232,182462,153008,32208,431512,188285,119134,88542,98638,146192,25490,160018,112154,105472,384873,75326,108660,127648,68730,50327,117401,91513,126445,542303,117965,143315,194746,139702,153709,70525,103900,117841,150851,183369,380890,82675,66295,79570,63051,98856,112657,54580,40738,33843,98156,39522,70555,50283,385439,16266,170784,124257,126070,70828,89136,105840,79141,71860,25839,81405,470284,47912,96253,61303,42650,24340,41086,51351,428446,86831,53032,36543,105919,114850,107102,75612,80028,431834,50039,44922,60908,105294,124394,73474,104015,84333,134309,67218,415475,110581,124495,66656,113502,124404,75548,54697,80888,72971,438704,58860,50488,149301,145990,75651,64990,108343,415762,52253,48516,57869,58948,11384,109395,418,395564,69238,5724,76786,97702,57867,39883,35644,92886,79941,47430,147849,382908,85098,92641,70906,79516,82592,105163,89810,88835,89539,79173,90485,145307,319230,7605,24067,60999,46550,42718,87794,17811,89109,72139,73122,186038,100658,424766,71729,74109,44638,85369,39316,95031,400859,70852,101048,81046,56087,103098,54892,38483,50864,403481,38584,70067,70556,46727,144444,160445,77306,67327,409526
Met_neg_1812,433.0566101,11.29884174,103,210918,224048,222212,214393,197364,264838,74439,207,76120,542,905,87891,68411,84,333,99053,239,208092,82824,63219,50,43776,205,787,77050,262,426,1015,177,233,69232,216,309,310,191969,61174,142492,59276,71,61269,804,67473,837,619,276,232,60664,32339,171,48620,318,198,57480,277,650,39873,189229,72,38013,22362,211,736,435,153,28377,32218,749,173054,60145,65739,52,54,42015,52504,111,66622,566,151811,434,102,53,50740,14853,19766,25574,43881,137761,264,28255,23277,21230,37381,20845,89,18,595,33197,336,31870,256,165,28,16125,208,614,14206,11117,41390,346,78,726,136987,145,35,512,34282,369,28352,36508,103,186,647,351,165575,13362,1240,19931,21363,38563,274,45,161826,116,455,28100,838,939,656,54,272,148385,27375,29478,204,72,32945,286,42443,34168,154,111,177371,423,60903,230496,125321,93344,99746,31234,560,295,156052,52,235,70,42162,35320,28862,20989,176839,134,626,188,123,81,726,37949,703,24103,41548,90,24152,157,451,457,42405,21786,18931,24445,166284,34122,31339,368,37118,19034,1589,286,498,71326,31589,81,43012,1426,338,16475,25137,15183,27856,323,114,1002,222,47930,157,23749,203506,28209,95,21865,25000,73,120,214026,520,360,20229,536,664,352,471,195,578,17008,20541,13061,32074,194,105,129,36390,867
Met_neg_1813,561.3276978,15.54588627,719849,732094,714431,700286,680099,16093,174642,129105,6659,7093,5785,993,132613,138622,3584,625,142302,182922,638952,1412,309013,4479,102785,413,86971,1625,114695,1308,637087,557,121989,132478,5438,101012,1566,588084,276751,134683,3913,5606,264885,386,101528,74891,539618,760,2088,334,97400,2160,2548,2091,282,141,1939,152,3273,12227,185,464,77875,367,153086,1399,236842,1645,5681,88,9375,50550,171,1638,84785,745,295813,5897,306711,65993,403231,4151,70175,5675,71564,2733,127938,1478,181653,393353,1049,1115,1255,110150,201895,418,89,138,231319,203543,6106,1024,182352,87002,125999,2893,60723,945,51,33434,15,57218,201,39345,366931,1752,2712,37547,2742,1411,1050,477,29960,1485,389,34800,426421,33899,829,1432,759,6887,220,336,2368,2518,1259,2592,2958,2622,68222,58294,2239,436547,1082,982,25460,4948,213356,223285,3398,1365,165568,3818,429930,121512,136864,632,1825,3334,88010,17,84473,1141,413205,96385,173620,270507,264826,388407,93176,307,7649,311177,839,305027,105761,175465,70516,308,385050,1855,2977,2322,1301,225504,1592,3830,141233,235958,108746,5134,9513,3251,132138,1706,269784,198479,141531,3243,199430,77255,139135,117843,87142,8103,368839,585389,7447,6813,339830,234158,186646,237847,164229,3411,193194,136589,13295,231085,3607,145473,1294,2790,4440,496579,1084,169269,144936,213336,121868,115725,189750,94504,13788,85267,89513,2802,2907,77537,88999,3024,157685,9851
Met_neg_1816,505.1348877,7.544541505,232989,227851,254420,246265,206613,211806,69861,70561,72096,60100,88917,85940,88651,86189,88269,51138,77010,68860,203750,76468,73221,69631,65115,74596,80939,69086,64708,72138,203686,72113,63420,53593,51109,62391,37983,195624,48679,69302,74425,62301,62905,87453,51831,49862,185260,67982,65713,104462,53838,46421,44458,45717,71829,58422,58763,72183,52269,163714,117470,69863,73206,47872,46014,36138,36749,47121,30871,41754,147334,48546,29153,10347,24933,20838,22825,41322,25334,27292,118590,29113,21773,27705,30288,41341,25284,17342,23457,118339,22445,23706,22766,17411,23011,18783,12407,26069,23167,29889,106001,25269,27923,26458,21163,21914,22100,35915,20151,28397,20345,26999,22350,37713,97816,17900,30640,25725,45734,28993,37557,37713,33797,36336,36439,26352,118231,32956,38206,36523,36264,43382,36972,22571,140341,27577,33353,32619,24828,28116,27244,22071,24029,126724,22634,28317,29155,22953,22111,29395,33184,31501,32292,34937,126460,24655,14983,31048,24481,31100,28691,37867,45707,35442,144116,20005,21611,10871,31523,35044,42153,33241,128088,33477,59461,34765,29454,40292,41275,58149,125254,33833,38630,38439,32134,40262,48211,35918,22604,25539,25377,17379,126859,26809,19508,35329,26377,29496,48008,23281,38044,47904,42732,50802,49718,112902,29442,34950,40240,27155,32223,42255,21257,32144,31437,29417,31839,30427,163221,28016,32294,24151,42502,29198,33197,176852,29490,35926,28945,31413,33601,35078,33198,37260,182750,26041,33790,34094,37178,23179,28081,60287,29907,189490
Met_neg_1819,713.4732666,7.165944295,173397,182608,195007,197654,181791,185635,109664,1630,109685,96294,92217,111397,102550,103981,639,2237,747,102259,178025,127288,133488,126157,105968,688,1551,71461,105994,107850,187458,83885,94916,86819,69957,364,105156,171517,71097,77812,58149,105859,107885,102258,78,1043,177076,50129,96050,97366,803,784,86150,101415,89666,74977,85155,86602,949,145117,111816,127722,76479,67545,55367,75631,62671,2082,82876,91244,158351,69826,54352,74230,73734,73487,51193,64901,65768,61326,147100,62677,71526,65642,67159,70105,58565,66640,64075,140982,69102,48052,47944,47656,1348,66709,61294,52289,58225,60544,126973,53154,59262,64004,63449,76030,60467,1140,171,55650,210,74346,75608,61174,132095,59979,56414,73396,911,272,70988,86215,64808,93899,268,716,3432,75421,63258,64022,57802,74492,51518,57757,141684,69089,78016,43476,71826,67766,51440,49637,49019,128260,55716,70058,50932,64953,83453,216,57490,59963,71991,61998,128114,57991,55721,37978,60260,61117,51459,40327,43380,52048,5747,43696,56414,47782,52544,75972,109,75707,130009,88357,104867,65711,70022,56846,66837,935,131952,62176,81393,39184,48935,68196,71239,80313,68614,60230,51156,44071,110670,46202,56143,59828,49663,42976,64967,66984,73604,59723,53682,74175,52546,114895,64496,965,69617,67719,58608,59053,70992,67793,48578,48648,75384,57558,140115,60820,45235,64016,60270,48188,38064,151133,45451,63582,46905,42818,54430,55767,52777,49283,136769,76884,57301,51027,43246,47303,47620,37829,44193,135960
Met_neg_1820,663.1199341,7.710599817,25991,47552,33467,37236,51731,48261,3970,10026,72,12460,146,220,8807,11644,2460,9416,4762,15896,43752,20403,7939,569,118,11413,18806,5770,15683,126,231,267,11173,874,15955,6110,4830,1105,8526,9104,23692,13523,394,18071,9354,18826,32213,44,7445,7858,15819,18121,18206,16337,22136,9219,3277,1107,252,39769,31152,9889,13089,596,10142,120,9348,12452,8090,664,47410,4072,1194,166,NA,258,204,5259,2387,2642,29123,1038,3879,2571,7806,12121,8508,2568,1279,531,1360,12598,6806,8236,8435,1445,894,1526,10771,4402,35826,10628,1978,852,725,1770,1286,549,965,NA,230,521,NA,2012,27112,815,8652,1067,NA,NA,86,3861,1880,717,639,2171,1106,NA,NA,NA,1373,NA,NA,NA,29715,2277,1216,108,4217,2191,676,456,6874,27672,477,632,789,124,411,8177,6834,7738,2237,5770,1063,3961,161,69,4933,3862,624,1732,8205,193,339,7461,5294,915,4925,8940,243,8132,31749,5593,9804,10228,4844,8486,4876,9883,27272,10583,14467,19388,5618,7482,10843,2166,318,3534,4452,7389,22097,7223,1079,6915,59,9462,471,9978,149,173,14367,17625,14949,94,5262,183,6498,8601,6686,5056,4394,6675,5260,5931,671,10382,34269,354,6408,3585,7584,12640,15724,34978,2087,9847,53,8930,12728,119,10186,13001,38072,1877,146,13922,10175,8089,12081,17262,508,34837
Met_neg_1821,821.4691162,16.01367692,1214277,1300307,1203185,1156019,1056333,1092485,196011,204369,353718,291936,275488,451262,441064,345867,391571,133760,294537,291902,891234,146300,362044,327377,422516,271143,419063,314507,211480,199157,1018719,231518,343001,304838,254640,417987,245338,1080065,169578,157322,157254,369969,603551,128019,332533,194394,1068302,124271,189955,116714,285029,330081,359704,261706,234164,261252,192539,159544,151926,958059,652,165281,162166,92955,155577,83690,126769,293793,230193,288682,1047270,306030,194427,158023,161806,177238,392105,317640,218997,226968,772853,184827,289629,286896,121777,4956,217612,247875,266328,906978,229637,223043,375019,227564,305153,125092,158345,217107,340779,295698,884598,200697,111877,196886,92217,189985,183149,61853,80625,67386,212048,136983,114101,92589,897839,342182,339534,262710,265687,87934,170750,154582,166852,144396,40769,197765,916007,105334,177014,185964,100713,20554,89163,119019,791551,177588,135840,81431,218375,211165,304934,136684,157242,844052,92910,102317,135625,193251,175391,155424,203524,130792,215468,156377,707055,254461,218250,129071,171648,275480,162705,91921,96909,129460,758126,116800,102071,246687,266496,178251,172631,173597,823855,70363,107639,85622,87085,112252,198861,351,704806,143263,131528,169999,185360,81307,71439,282880,150293,205734,77710,230443,786140,184313,161573,156259,150549,98313,170768,125197,167134,163011,135962,191683,247310,605528,140659,65993,148344,108514,63123,216561,199581,136108,110518,177790,444835,229532,833774,100231,131458,206533,141412,118515,172466,727667,122141,162494,180677,97380,135086,94087,113359,75777,794110,55828,110200,136598,86896,368777,380575,179083,153158,737432
